Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
C01-EML,autx,26.913779,73.08403361,46.17025461,32.90586,2.425210084,-30.48064992,15.389372,5.882352941,-9.507019059
C01-WBP,autx,26.913779,70.74873524,43.83495624,32.90586,0,-32.90586,15.389372,0,-15.389372
C02-BOG,autx,26.913779,14.7027027,-12.2110763,32.90586,39.6097973,6.7039373,15.389372,33.27702703,17.88765503
C02-PEA,autx,26.913779,41.90202703,14.98824803,32.90586,32.57432432,-0.33153568,15.389372,33.10810811,17.71873611
C02-ZIL,autx,26.913779,48.66107383,21.74729483,32.90586,21.90436242,-11.00149758,15.389372,21.97986577,6.590493772
C03-MON,autx,26.913779,25.53637902,-1.37739998,32.90586,29.59898477,-3.30687523,15.389372,13.70558376,-1.683788244
C03-ONI,autx,26.913779,58.08149406,31.16771506,32.90586,0,-32.90586,15.389372,4.074702886,-11.31466911
H02-BLU,autx,26.913779,38.38071066,11.46693166,32.90586,25.68020305,-7.22565695,15.389372,20.47377327,5.084401266
WL10-HIG,autx,26.913779,20.04026846,-6.87351054,32.90586,50.40436242,17.49850242,15.389372,5.396290051,-9.993081949
WL1-DEL,autx,26.913779,10.15851602,-16.75526298,32.90586,45.32883642,12.42297642,15.389372,9.563758389,-5.825613611
WL4-UTA,autx,26.913779,7.872881356,-19.04089764,32.90586,71.54745763,38.64159763,15.389372,2.372881356,-13.01649064
WL8-WRI,autx,26.913779,25.71163575,-1.20214325,32.90586,27.35244519,-5.55341481,15.389372,50.42158516,35.03221316
WL9-REI,autx,26.913779,13.83191851,-13.08186049,32.90586,57.5008489,24.5949889,15.389372,11.20543294,-4.183939063
BCG,autx,26.913779,54.82124789,27.90746889,32.90586,22.32546374,-10.58039626,15.389372,15.0084317,-0.380940297
BRDP,autx,26.913779,12.80879865,-14.10498035,32.90586,36.09137056,3.18551056,15.389372,20.30456853,4.915196528
BRP,autx,26.913779,34.1795302,7.2657512,32.90586,20.93791946,-11.96794054,15.389372,10.40268456,-4.986687436
CF,autx,26.913779,41.48730964,14.57353064,32.90586,0.922165821,-31.98369418,15.389372,21.48900169,6.099629692
CRWS,autx,26.913779,29.08768971,2.17391071,32.90586,22.13490725,-10.77095275,15.389372,10.11804384,-5.271328155
DNP,autx,26.913779,13.06666667,-13.84711233,32.90586,69.295,36.38914,15.389372,5.333333333,-10.05603867
GVP,autx,26.913779,26.37901861,-0.53476039,32.90586,27.90693739,-4.99892261,15.389372,33.67174281,18.28237081
MFBCP,autx,26.913779,29.56925676,2.65547776,32.90586,44.78547297,11.87961297,15.389372,21.62162162,6.232249622
SONP,autx,26.913779,38.93908629,12.02530729,32.90586,12.2250423,-20.6808177,15.389372,30.62605753,15.23668553
TNP,autx,26.913779,40.95076401,14.03698501,32.90586,39.80475382,6.89889382,15.389372,24.78777589,9.398403891
WBCG,autx,26.913779,40.08053691,13.16675791,32.90586,41.16946309,8.26360309,15.389372,18.45637584,3.067003839
Berg,autx,26.913779,23.98979592,-2.92398308,32.90586,15.03911565,-17.86674435,15.389372,34.69387755,19.30450555
OSA,autx,26.913779,29.20504202,2.29126302,32.90586,0.505882353,-32.39997765,15.389372,6.554621849,-8.834750151
C04-MBP1,chil,9.821718,7.809121622,-2.012596378,39.68663,29.43074324,-10.25588676,12.769209,0.675675676,-12.09353332
C05-BMP1,chil,9.821718,11.03872054,1.21700254,39.68663,20.42087542,-19.26575458,12.769209,13.46801347,0.698804468
C05-BMP2,chil,9.821718,1.671163575,-8.150554425,39.68663,4.844856661,-34.84177334,12.769209,0,-12.769209
C05-SPA1,chil,9.821718,3.337837838,-6.483880162,39.68663,42.8902027,3.2035727,12.769209,4.560810811,-8.208398189
C06-HMP1,chil,9.821718,4.084317032,-5.737400968,39.68663,21.51096121,-18.17566879,12.769209,12.47892074,-0.290288258
D02-BMT1,chil,9.821718,1.411167513,-8.410550487,39.68663,83.70558376,44.01895376,12.769209,0,-12.769209
D02-HUP0,chil,9.821718,2.62541806,-7.19629994,39.68663,41.40635452,1.71972452,12.769209,6.18729097,-6.58191803
D02-JBS1,chil,9.821718,6.097807757,-3.723910243,39.68663,32.13153457,-7.55509543,12.769209,4.384485666,-8.384723334
D02-MOP1,chil,9.821718,1.640202703,-8.181515297,39.68663,79.21621622,39.52958622,12.769209,0.168918919,-12.60029008
D02-RCP1,chil,9.821718,2.124789207,-7.696928793,39.68663,77.80438449,38.11775449,12.769209,0.337268128,-12.43194087
D02-SCP1,chil,9.821718,2.234401349,-7.587316651,39.68663,78.66947723,38.98284723,12.769209,0,-12.769209
D03-AFP1,chil,9.821718,1.925423729,-7.896294271,39.68663,76.04576271,36.35913271,12.769209,0.338983051,-12.43022595
D03-AMP1,chil,9.821718,3.971283784,-5.850434216,39.68663,73.37162162,33.68499162,12.769209,0,-12.769209
D03-CHP1,chil,9.821718,3.61409396,-6.20762404,39.68663,69.80033557,30.11370557,12.769209,0.838926174,-11.93028283
D03-GOM1,chil,9.821718,6.557627119,-3.264090881,39.68663,47.86271186,8.17608186,12.769209,9.152542373,-3.616666627
D03-NPV1,chil,9.821718,9.083191851,-0.738526149,39.68663,49.92190153,10.23527153,12.769209,5.432937182,-7.336271818
D03-STB1,chil,9.821718,2.31986532,-7.50185268,39.68663,66.45791246,26.77128246,12.769209,1.178451178,-11.59075782
D04-DNP1,chil,9.821718,4.192307692,-5.629410308,39.68663,56.99331104,17.30668104,12.769209,7.859531773,-4.909677227
D04-EDW0,chil,9.821718,28.86949153,19.04777353,39.68663,14.43389831,-25.25273169,12.769209,20.84745763,8.078248627
D04-RDP1,chil,9.821718,4.223350254,-5.598367746,39.68663,64.04230118,24.35567118,12.769209,0.169204738,-12.60000426
D04-ROS0,chil,9.821718,5.125211506,-4.696506494,39.68663,52.78003384,13.09340384,12.769209,17.42808799,4.658878986
D05-ADC2,chil,9.821718,6.613065327,-3.208652673,39.68663,42.12227806,2.43564806,12.769209,14.40536013,1.636151134
D05-BRP1,chil,9.821718,4.1875,-5.634218,39.68663,52.29391892,12.60728892,12.769209,8.952702703,-3.816506297
