Site,City,ju18_1,ju18_2,ju18_3,ju18_4,oc18_1,oc18_2,oc18_3,oc18_4,ja19_1,ja19_2,ja19_3,ja19_4,ap19_1,ap19_2,ap19_3,ap19_4,ju19_1,ju19_2,ju19_3,ju19_4,oc19_1,oc19_2,oc19_3,oc19_4,ja20_1,ja20_2,ja20_3,ja20_4,ap20_1,ap20_2,ap20_3,ap20_4,ju20_1,ju20_2,ju20_3,ju20_4
C01-EML,autx,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01-WBP,autx,7,7,7,7,7,7,7,3,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,6,7,4,0,0,0,0,0,0,0,5,7,5
C02-BOG,autx,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,0,0
C02-PEA,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0
C02-ZIL,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
C03-MON,autx,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,3,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
C03-ONI,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,5
H02-BLU,autx,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,4,0,0,0,0,0,0,0,0
WL10-HIG,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,7,7,2,7,7,7,7,0,0,0,0,0,0,0,0
WL1-DEL,autx,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,0,0,0,0,0,0,0,0
WL4-UTA,autx,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
WL8-WRI,autx,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,2,7,7,2,0,0,0,0,0,0,0,0
WL9-REI,autx,7,7,7,7,7,7,7,7,7,7,0,0,7,7,7,7,1,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
BCG,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
BRDP,autx,7,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,2,7,7,7,5,0,0,0,0
BRP,autx,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,autx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,7,7,7,7,0,0,0,0
CRWS,autx,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,7,7,7,7
DNP,autx,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,4,7,7,7,7,3,7,7,3,0,0,0,0,0,0,0,0
GVP,autx,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,4,0,0,0,0,0,0,0,0
MFBCP,autx,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,7,7,7,7,7,0,0,0,0,1,7,7,2,7,7,7,7
SONP,autx,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNP,autx,1,0,0,0,7,7,7,7,0,0,0,0,0,0,3,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBCG,autx,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berg,autx,7,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
